Title,SubBlock
Glenadrienne,8
Glenanda East of Glen Rd,5
Glenanda West of Glen Rd,13
GLENEAGLES ,12
GLENEAGLES EXT,12
Glenesk,12
Glenhazel,4
GLENIFFER,10
Glenkay,4
Glensan,9
Glenvista,5
Glenvista Ext,5
Golden Harvest A.H,10
Goldev,7
Goldreef City,13
Goudkoppies,7
Grassmere,9
Greenside,2
Greenside East,2
Greenside South ,2
Greenside West,2
Greenstone Hill,4
Gresswold,4
Greymont,2
Grobler Park,11
Groblerpark Ext,11
Grosvenor,14
Haddon,12
Halfway Gardens ,3
Halfway Gardens  Ext ,3
HalfwayHouse,3
Hamberg,15
Harveston,11
Hawkins Estate,4
HEADWAY HILL,3
HEADWAY HILL EXT,3
Helderkruin,11
Helen Joseph Hospital,14
Heriotdale,12
Heriotdale Ext,12
High Gate,15
Highlands North,4
Highpoint,1
Hillbrow,1
Holiday Inn,1
Homestead Park,5
Honey Hills,15
Honeydew,11
Honeydew Ext ,11
Hoogland,10
Hopefield,9
Horison,11
Horison Park,11
Horison View,11
Hospital Hill 1,1
Hospital Hill 2,1
Houghton,4
Houghton Estate,9
Houghton South,9
Hunters Hill A.H,10
Hurlingham,2
Hurlingham Manor,2
Hurst Hill,7
Hyde Park,1
Hyde Park,2
Hyde Park A Settlement,16
Hyde Park East,9
Hyde Park Ext 1,2
Hyde Park Ext 11,2
Hyde Park West,16
Hyperion,10
Illovo,9
Inanda,9
Industria,14
Industria North,15
Industria West,14
Isle of Houghton,1
Jacanlee,16
Jan Hofmeyer,5
Jeppe East,12
Jeppe West,13
JHB Central,1
Johannesburg CBD,13
Johannesburg City,13
Johannesburg-North,10
Joubert Park,1
Joubert Park South,10
Judith Paarl West,4
Jukskei Park,10
"Jukskei Park, Ext 1,2,3,6,9",10
Jukskei View Ext.17,3
Jukskei View Ext.18,3
Kaalfontein  ,3
Kaalfontein  Ext,3
Kazerne,13
Kelland,14
Kelly Ridge,11
Kenilworth,12
Kenilworth Ext ,12
Kensington,12
Kensington B,16
Kensington Ext,12
Kensington South,12
Kent Park,9
Kent View,9
KEVIN RIDGE,11
KEVIN RIDGE EXT 10,11
Kew,4
Kiasha Park,9
Kiasha Park Ext,9
Kibler Heights,5
Kibler Park,14
Killarney,1
Killarney Mall,1
Killarney Mall,9
Klevehill Park,11
Klipfontein,3
Klipriviersberg,12
Klipriviersoog,7
Klipriviersoog Estate,7
Klipspruit West,7
Kliptown,7
Kloofendal,11
KYA SAND EXT,10
Kya Sand Ext.101,8
Kya Sand Ext.102,8
Kya Sands,10
Kyalami Estates,3
Kyalami Estates Ext ,3
Kyalami Hills,3
Kyalami Park,3
La Rochelle,12
Lakeview,13
Langlaagte,5
Laser Park,11
Lawley,9
Lehae,1
Lehae Ext,1
Lenaron AH,14
Lenasia Ext 1,10
Lenasia Ext 10,7
Lenasia Ext 11,7
Lenasia Ext 13,7
Lenasia Ext 2,10
Lenasia Ext 24,1
Lenasia Ext 3,7
Lenasia Ext 4,10
Lenasia Ext 5,7
Lenasia Ext 6,10
Lenasia Ext 7,7
Lenasia Ext 8,7
Lenasia Ext 9,7
Lenasia South,9
Lenasia South Ext 1,9
Lenasia South Ext 2,9
Lenasia South Ext 4,9
Lenasia south ext 7,9
Lenasia/Corobric,1
Lewisham,11
Liefde n Vrede,5
Lindberg Park,12
Linden,2
Linden East,2
Linden Ext,16
Linden North ,2
Linden South,2
Lindhaven,11
Linksfield,4
Linksfield Ext,4
Linksfield North,4
Linksfield Ridge,4
Linmeyer,12
LittleFalls,11
Lombardy East ( East Side ),9
Lombardy East ( West Side ),4
Lombardy West,4
Longdale,14
Longmeadow,4
Longmeadow Business Estate,4
Longmeadow Business Estate Ext,4
Lorentzville,4
Lougherin,14
Lufhering,15
LYME PARK,10
Lyndhurst,4
Malanshof,14
Malvern,12
Malvern Ext,12
Manufacta,11
Maraisburg,15
Marlboro,3
Marlboro Gardens,3
Maroeladal,10
Marshalls Town,13
Marshalltown,13
Martindale,14
Maryvale,4
Matholesville,11
Mayfair,5
Mayfair North,5
Mayfair West,5
Mayfield Park,5
Meadowhurst,10
Meadowhurst A.H,10
Melrose,9
Melrose Arch,9
Melrose Estate,9
Melrose Ext 1,9
Melrose Ext 2,9
Melrose North,9
Melville,7
Melville,5
Meredale,5
Meredale Ext,5
Micor,14
Micor Industrial,5
Mid Ennerdale ,9
Migson Manor,9
Migson Triangle,9
Mill Hill,4
Mill Hill Ext 2,10
Milpark,5
Misgund,14
Modderfontein,4
Modderfontein Ext,4
Moffatview,12
Mondeor,5
Mondeor Ext,5
Mondeor North,13
Mongomery Park,2
Montclare,14
Montroux,16
Moodey Hill,4
Moodey Hill,9
Moret,14
Morningside,4
Morningside,9
Mountainview,9
MTN Campus,11
Mulbarton,5
Nancefield,7
Nancefield Ext,7
Nancefield Industria,7
Nasrec,13
Nasrec Ext,13
Naturena,14
New Brighton,4
New Canada,14
New Centre,6
New Doornfontein,13
Newclare,14
Newlands,7
Newtown,6
Noordgesig,5
"Noordhang Ext 20,23,25,26,29,3,33,36,4,42,44,45,46",10
"Noordhang Ext.49,50,51,54,58,67,7,8",10
Noordwyk,16
North Riding A.H,10
NORTH RIDING ESTATES,8
NORTH RIDING ESTATES EXT,8
"North Riding Ext.1,13,16,17,2,20,21,23,26,27,29,30",10
"North Riding Ext.38,4,42,43,46,5,51,53,54,55,59,6,60,61",10
"North Riding Ext.62,63,64,67,69,71,72,73,75,76,79,80,82",10
"North Riding Ext.84,86,91,92,93,94,",10
Northcliff,7
Northcliff,2
Northcliff,14
Northcliff & Exts,2
NorthCliff Ext,7
Northcliff Ext 12,2
Northcliff Ext 19,7
Northcliff Ext 22,2
NorthCliff Ext 4,2
Northcliff Ext 6,2
Northcliff Ext 7,16
Northcliff Ext 8,16
Northcliff Ext 9,16
Northcliff South,2
NORTHGATE ,8
Northgate Ext,8
Northgate Ext 4,8
Northriding,8
Northriding AH,8
Northriding Ext,8
Northumberland,8
Northwold,8
Northwold Gardens ,8
Northworld Ext,8
Norwood,9
Oakdene,12
Oaklands,9
Observatory,4
Oerder Park,14
Oliefantsvlei,7
Olivedale,10
Ontdekkers Park,11
Oospoort Ext 1,12
Ophirton,13
Ophirton Ext,13
Orange Grove,9
Orchards,9
Orlando Ekhaya ,15
Ormonde,13
Ormonde Ext,13
Paarlshoop,5
Pageview,5
Panorama,11
Park Central,6
Parkhurst,2
Parklane Clinic,1
PARKMORE,10
Parkmore,4
PARKMORE EXT.1,10
Parktown East,1
Parktown North,1
Parktown North (East),1
Parktown North (West),2
Parktown West,6
Parkview,2
Parkwood,1
Parkwood East,1
Parkwood West,2
Patlynn,14
Patlynn AH,5
Pennyville,5
Percelia Estate,4
Percilia,4
Percilia Ext,4
Petervale,10
Phomolong,3
Pierneef Park,2
Pine Park,2
Pioneer,12
Poortview,11
President Park,3
President Park Ext,3
President Ridge,14
Princess    ,11
Princess AH,11
Production Park,13
Prolecon,13
Quellerina,15
Rabie Ridge,3
Race Course,7
Radiokop,11
Raedene,4
Rand Clinic,1
Rand Leases,15
Rand Park Ridge,14
RandjiesPark,16
RandPark,14
Randpark,16
RandPark Ridge,14
Randpark Ridge,16
Randview,4
Raumarais Park,9
Reefhaven,11
Regency,12
Regents Park,12
Rembrandt Park,4
Rembrandt Ridge,4
Residale,2
Residale Ext 6,2
Reuven,12
Rewlatch,12
Rewlatch Ext,12
Reynolds View,4
Richmond,5
Ridgeway ,12
Ridgeway North,13
Ridgeway South,12
Rietfontein AH,7
Ris Park,14
Ris Park AH,5
Risana,12
Rivasdale,7
River Club,4
RIVER CLUB EXT,4
River Park,9
Riverbend,10
Riverlea,14
Riviera,9
Robertsham,13
Robertsham Ext,13
Robertville,15
Robin Acres,16
Robindale,16
Roodekrans,11
Roodekrans Ext,11
Roodepoort,11
Roodepoort CBD,11
Roodepoort North,15
Roodepoort West,11
Roseacre,12
Rosebank,1
Rosebank East,9
Rosebank Mall,1
Rosettenville,12
Rosettenville & Ext ,12
Rosherville,12
Rossmore,14
Rossmore,5
Rothesay Ave,2
Rouxville,4
Rouxville Ext,4
Ruimsig,11
Ruiterhof,14
RWB Eikenhof,14
SABC,5
Sagewood ext.14,16
Salisbury Claims,13
Salisbury Claims Ext,13
Salisbury Claims Ext 1,13
Sandhurst,9
SANDHURST ,4
Sandringham,4
Santa  ,15
SAP 13,15
Savoy,4
Savoy Estate,4
Saxonwold East,1
Saxonwold West,2
Selby,13
Selby Ext,13
Selby South,13
Selwyn,11
Sharonlea,8
Sharonlea Ext 17,16
Siemert,13
Silvamont,4
Silverfields,11
Slovo Park,7
Soccer City,12
Sol Ridge,10
SonneGlans,14
Sonneglans,10
SonneGlans Ext,14
SonneGlans Ext 17,14
Sophiatown,14
South Gate,5
South Hills,12
South Kensington,12
Southcrest,12
Southdale,13
Southfork,14
Spes Bona,12
Spionekop,11
Springfield,12
Stafford,12
Steeldale,12
Stormill,15
Strubens Valley,11
Strydom Park,14
Strydom Park Ext,14
Suideroord,5
Sundowner,8
Sundowner Ext,8
Sundowner Ext 10,8
Sundowner Ext 6,8
Sunningdale,9
Sunningdale Ridge,9
Sunnyside,5
Sydenham,4
Talboton,4
The Gables,12
The Gables Ext,12
The Gardens ,4
The Hill,12
The Hill Ext,12
Theta,13
Thorn Hill,4
Tokyo,14
Towerby,12
Townsview,12
Triomf,14
Trojan,12
Troyville,13
TSHEPISONG,5
TSHEPISONG EXT,5
Tulisa Park,12
Turf Club,12
Turffontein,12
Uitsaaisentrum,5
UJ Soweto,15
Unaville,9
Unigrey,12
University of Johannesburg (RAU),7
Upper Houghton,1
Valeriedene,16
Vandia Grove,10
Victoria,4
Victory Park,2
Victory Park & Ext ,2
Victory Park 8 & 11,2
Victory Park Ext 1,2
Victory Park Ext 2,2
Victory Park Ext 4,16
Victory Park North,2
Victory Park South,2
View Crest,4
Village Deep,13
Village Main,13
Vlakfontein,1
"Vlakfontein ext.1,2,3",1
Vorna Valley,3
Vrededorp,5
Vredepark,5
Waterval Estate,2
Waterval Estate Ext 5,16
Waverley,4
Weadhurst,10
Weltevreden Park,11
Wemmer,12
West Gate,11
West Lake,15
West Park,16
West Turffontein,12
West Turffontein,13
West Turffontein Ext,12
Westbury,14
Westbury North,14
Westbury South,14
Westcliff Ext,2
Westdene,7
WestField,4
Westgate,6
Westgate Ext,6
Westlake View,4
Westlake View Ext,4
White Ridge,15
Whitney Gardens ,4
Wierda Valley,9
Wilgeheuwel,11
Willaway,3
Willowdene,14
Willowild,2
WilroPark,11
Winchester Hills,12
Winchester Hills,13
Winchester Hills Ext,12
Windsor,16
Windsor,16
Windsor East,16
Windsor Glen,16
Windsor Hill,16
Windsor Ridge,16
Windsor West,16
Windsorway,10
Winston Ridge,9
Witpoortjie,11
Wits,6
Wolhuter,13
Wychwood,12
Wychwood Ext,12
Wynberg,9
Yeoville,4
Zakariya Park,1
Zakariya Park Ext ,1
"Zakariya Park Ext 4,5,6,7,8",1
Zonkizizwe,3
